
8020,Priority,Product title,Product variant title,Product variant SKU,Lifecycle,Product variant ID
80,1,3D Fishing Products - Ultimate Bait Bridle,Large (Original) / 6-Pack,SKU-1264,,43260597272774
80,1,3D Fishing Products - Ultimate Bait Bridle,Small / 6-Pack,SKU-1263,,43260522889414
80,1,3D Fishing Products - Ultimate Bait Bridle,Offshore / 4-Pack,SKU-1265,,43260597305542
80,1,A&S - Umbrella Rigs,"4-Arm / Blueback Shad / 22""",SKU-798,Buy - Standard,41653492351174
80,1,A&S - Umbrella Rigs,"6-Arm / Blueback Shad / 22""",SKU-801,Buy - Standard,41653493465286
80,1,A&S - Umbrella Rigs,"6-Arm / Sand Eel / 22""",SKU-800,Buy - Standard,41653495300294
80,1,A&S - Umbrella Rigs,"6-Arm / Black and Red Tubes / 22""",SKU-802,Buy - Standard,41653491007686
80,1,A&S - Umbrella Rigs,"6-Arm Combat Shad / Sand Eel / 15""",SKU-795,Buy - Standard,41653494481094
80,1,A&S - Umbrella Rigs,"4-Arm / Black and Red Tubes / 22""",SKU-799,Buy - Standard,42665853354182
80,1,A&S - Umbrella Rigs,"6-Arm Combat Shad / Mackerel / 15""",SKU-797,Buy - Standard,41776290529478
80,1,A&S - Umbrella Rigs,"6-Arm Combat Shad / Pearl / 15""",SKU-796,Buy - Standard,41776272081094
80,1,Acme - Little Cleo,Gold / 1/4 oz,C140G,Buy - Standard,14712861884458
80,1,Acme - Little Cleo,Nickel / 1/8 oz,C180N,Buy - Standard,39739878310086
80,1,Acme - Little Cleo,Nickel / 1/4 oz,C140N,Buy - Standard,39739973468358
80,1,Acme - Little Cleo,Nickel Chartreuse / 1/8 oz,C180NCS,Buy - Standard,39732447707334
80,1,Acme - Little Cleo,Nickel Neon Blue / 1/4 oz,C140NNB,Buy - Standard,44424237646022
80,1,Acme - Little Cleo,Chartreuse Green Stripe / 1/4 oz,C140CGS,Buy - Standard,43408037871814
80,1,Acme - Little Cleo,Gold / 1/8 oz,C180G,Buy - Standard,39732347666630
,1,Acme - Little Cleo,Nickel Neon Green / 1/4 oz,C140NNG,Closeout Review,44424193769670
,1,Acme - Little Cleo,Nickel Neon Blue / 1/8 oz,C180NNB,Closeout Review,44424239022278
80,1,Acme - Little Cleo Diamond Series,1/4oz - 1 5/8in / Blue/Green/Gold,C140HBGG,Buy - Standard,41409462436038
80,1,Acme - Little Cleo Diamond Series,1/4oz - 1 5/8in / Fluorescent Gold,C140HFG,Buy - Standard,44424570306758
80,1,Acme - Little Cleo Diamond Series,1/4oz - 1 5/8in / Nickel,C140HN,Fixed Clearance,41418171220166
80,1,Acme - Little Cleo Diamond Series,1/4oz - 1 5/8in / Nickel Green,C140HNG,Buy - Standard,43407985279174
80,1,Acme - Little Cleo Diamond Series,1/4oz - 1 5/8in / Nickel-Blue,C140HNB,Buy - Standard,41409462403270
80,1,Acme - Little Cleo Diamond Series,1/8oz - 1 3/8in / Nickel-Blue,C180HNB,Buy - Standard,41409462272198
80,1,Acme - Little Cleo Pattern Series,1/4 oz / Metallic Perch,C140MPR,Buy - Standard,44424573878470
80,1,Acme - Little Cleo Pattern Series,1/4 oz / Rainbow Trout,C140RT,Buy - Standard,44424573911238
80,1,Acme - Little Cleo Pattern Series,2/5 oz / Firetiger,C200FT,Buy - Standard,44424574009542
80,1,Acme - Little Cleo Pattern Series,1/8 oz / Rainbow Trout,C180RT,Buy - Standard,44424573747398
80,1,Acme - Little Cleo Pattern Series,1/8 oz / Metallic Perch,C180MPR,Buy - Standard,44424573714630
80,1,AFTCO - Black Tapered Fiberglass Gaffs,6ft / 4in Hook - 3/8in Diameter,GFF46-B,,42806479749318
80,1,AFTCO - Gold Series Bait and Livewell Net,18in Handle - 10in Hoop,NET1810,,37432097767622
80,1,AFTCO - Gold Series Bait and Livewell Net,24in Handle - 10in Hoop,NET2410,,37432111726790
80,1,AFTCO - Gold Series Bait and Livewell Net,12in Handle - 8in Hoop,NET128,,39974887227590
80,1,AFTCO - Roller Troller Flat Line Clip,Default Title,FL1,,12381581672490
80,1,AFTCO - Roller Troller Outrigger Release Clips - 2pk,Default Title,OR1,,12381568172074
80,1,AFTCO - Samurai Sun Protection Hoodie,Steel Heather / Large,M63126-STLH-L,,43732567490758
80,1,AFTCO - Samurai Sun Protection Hoodie,Oceanview / Medium,M63126-OCV-M,,43732535509190
80,1,AFTCO - Samurai Sun Protection Hoodie,Steel Heather / X-Large,M63126-STLH-XL,,43732567523526
80,1,AFTCO - Samurai Sun Protection Hoodie,Airy Blue Heather / Large,M63126-ARBH-L,,44938606313670
80,1,AFTCO - Samurai Sun Protection Hoodie,Airy Blue Heather / X-Large,M63126-ARBH-XL,,44938606346438
80,1,AFTCO - Samurai Sun Protection Hoodie,Olive Heather / X-Large,M63126-OLIH-XL,,32394775167047
80,1,AFTCO - Samurai Sun Protection Hoodie,Oceanview / XX-Large,M63126-OCV-2XL,,43732535607494
80,1,AFTCO - Samurai Sun Protection Hoodie,Olive Heather / Large,M63126-OLIH-L,,32502901801031
,1,AFTCO - Samurai Sun Protection Hoodie,Olive Heather / Small,M63126-OLIH-S,,41760692633798
,1,AFTCO - Samurai Sun Protection Hoodie,Oceanview / X-Large,M63126-OCV-XL,,43732535574726
,1,AFTCO - Samurai Sun Protection Hoodie,Olive Heather / Medium,M63126-OLIH-M,,41760694567110
,1,AFTCO - Samurai Sun Protection Hoodie,Steel Heather / XX-Large,M63126-STLH-2XL,,43732567556294
,1,AFTCO - Samurai Sun Protection Hoodie,Oceanview / Large,M63126-OCV-L,,43732535541958
,1,AFTCO - Samurai Sun Protection Hoodie,Airy Blue Heather / Medium,M63126-ARBH-M,,44938606280902
,1,AFTCO - Samurai Sun Protection Hoodie,Oyster Gray Heather / X-Large,M63126-OYSH-XL,,44653298876614
,1,AFTCO - Samurai Sun Protection Hoodie,Oyster Gray Heather / Large,M63126-OYSH-L,,44653298843846
,1,AFTCO - Samurai Sun Protection Hoodie,Oyster Gray Heather / Medium,M63126-OYSH-M,,44653298811078
,1,AFTCO - Samurai Sun Protection Hoodie,Oyster Gray Heather / XX-Large,M63126-OYSH-XXL,,44653298909382
,1,AFTCO - Samurai Sun Protection Hoodie,Olive Heather / XX-Large,M63126-OLIH-XXL,,32394776346695
,1,AFTCO - Samurai Sun Protection Hoodie,Oceanview / Small,M63126-OCV-S,,43732535476422
,1,AFTCO - Samurai Sun Protection Hoodie,Airy Blue Heather / Small,M63126-ARBH-S,,44938606248134
,1,AFTCO - Samurai Sun Protection Hoodie,Steel Heather / Small,M63126-STLH-S,,43732567425222
,1,AFTCO - Samurai Sun Protection Hoodie,Airy Blue Heather / XX-Large,M63126-ARBH-XXL,,44938606379206
,1,AFTCO - Samurai Sun Protection Hoodie,Magnum Blue Heather / X-Large,,,39609034309830
,1,AFTCO - Samurai Sun Protection Hoodie,Brilliant Blue Heather / Medium,,,41762471510214
,1,AFTCO - Samurai Sun Protection Hoodie,Magnum Blue Heather / Medium,,,39609019990214
,1,AFTCO - Samurai Sun Protection Hoodie,Steel Heather / XXX-Large,M63126-STLH-3XL,,43732567589062
,1,AFTCO - Samurai Sun Protection Hoodie,Steel Heather / Medium,M63126-STLH-M,,43732567457990
,1,AFTCO - Samurai Sun Protection Hoodie,Oyster Gray Heather / Small,M63126-OYSH-S,,44653298778310
,1,AFTCO - Samurai Sun Protection Hoodie,Brilliant Blue Heather / X-Large,,,41762471575750
80,1,AFW - Stainless Steel Ball Bearing Snap Swivels with Double Welded Rings (10 Packs),#7 - 400lb (10pk) / Gunmetal Black,FTV400B/10,,38246539886790
80,1,AFW - Stainless Steel Ball Bearing Snap Swivels with Double Welded Rings (10 Packs),#6 - 320lb (10pk) / Gunmetal Black,FTV320B/10,,38246539854022
80,1,Ahi USA - 500 Pro Series Cast Nets,8ft,CN-508,Buy - Standard,43004115550406
80,1,AHI USA - Sabiki Rods,7ft - 3 Piece,RSB700,Buy - Standard,40479828967622
80,1,AHI USA - Sabiki Rods,8ft - 3 Piece,RSB800,Buy - Standard,32360253030471
80,1,"Aluminum Split Ring Pliers with Sheath (mixed colors, unpackaged)",Default Title,HB-PLIER,,32533624979527
80,1,Ande - Premium Monofilament Leader Material,Clear / 40lb - 0.60mm / 50yd Wrist Spool,PCW40,Buy - Standard,12377986007082
80,1,Ande - Premium Monofilament Leader Material,Clear / 30lb - 0.55mm / 50yd Wrist Spool,PCW30,Buy - Standard,12377985974314
80,1,Ande - Premium Monofilament Leader Material,Clear / 80lb - 0.90mm / 50yd Wrist Spool,PCW80,Buy - Standard,12377986203690
80,1,Ande - Premium Monofilament Leader Material,Clear / 50lb - 0.70mm / 50yd Wrist Spool,PCW50,Buy - Standard,12377986072618
80,1,Ande - Premium Monofilament Leader Material,Clear / 60lb - 0.80mm / 50yd Wrist Spool,PCW60,Buy - Standard,12377986138154
80,1,Ande - Premium Monofilament Leader Material,Clear / 100lb - 1.00mm / 50yd Wrist Spool,PCW100,Buy - Standard,12377986269226
80,1,Ande - Premium Monofilament Leader Material,Clear / 20lb - 0.45mm / 50yd Wrist Spool,PCW20,Buy - Standard,12377985908778
80,1,Bajio - Bales Beach,Black Matte / Trevally / Glass,BAL220011,,40582880985286
80,1,Balloons - Latex,1/2 lb.-Pack (approx. 80),Balloon-8oz,,44072418050246
80,1,Balloons - Latex,25-Pack,Balloon25pack-1,,44072418017478
80,1,Basil - 12ft Seaguar Fluorocarbon Wind-On Leaders,Seaguar Premier / 80lb - 12ft,SFP12F080,,37830168543430
80,1,Basil - 12ft Seaguar Fluorocarbon Wind-On Leaders,Seaguar Premier / 150lb - 12ft,SFP12F150,,42468329554118
80,1,Basil - 12ft Seaguar Fluorocarbon Wind-On Leaders,Seaguar Premier / 100lb - 12ft,SFP12F100,,37830168576198
